State,County,City,Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
California,San Joaquin,Stockton,FAHM Fest - Stockton 2023,https://www.eventbrite.com/e/fahm-fest-stockton-2023-tickets-716532436807?aff=ebdssbdestsearch,,"Sat, Oct 14 •  11:00 AM ","San Joaquin Delta College 5151 Pacific Avenue Stockton, CA 95207",EPIC Program,,,,
California,Yolo,Winters,2023 Carnitas Dinner Tickets for the Festival de la Comunidad Sept. 30th,https://www.eventbrite.com/e/2023-carnitas-dinner-tickets-for-the-festival-de-la-comunidad-sept-30th-tickets-701091201657?aff=ebdssbdestsearch,,Today • 3:30 PM,"Winters Community Center 201 Railroad Avenue Winters, CA 95694",Winters Community Corazón,http://www.winterscorazon.org,https://www.facebook.com/111451914988704,,
California,Sonoma,Santa Rosa,Santa Rosa Summer Camp Fair at Finley Community Center,https://www.eventbrite.com/e/santa-rosa-summer-camp-fair-at-finley-community-center-tickets-726239169907?aff=ebdssbdestsearch,,"Sat, Mar 9 •  12:00 PM ","Finley Community Center 2060 W College Ave. Santa Rosa, CA 95401",Barber Events,,,,
California,Santa Cruz,Santa Cruz,2023 Festival of Monsters (Public Day),https://www.eventbrite.com/e/2023-festival-of-monsters-public-day-tickets-663418341117?aff=ebdssbdestsearch,,"Fri, Oct 13 •  9:30 AM ","Santa Cruz Museum of Art & History 705 Front Street Santa Cruz, CA 95060",Center for Monster Studies at UC Santa Cruz,https://www.monsterstudies.ucsc.edu/,https://www.facebook.com/110369204601555,https://www.twitter.com/ucscmonsters,
California,San Joaquin,Stockton,HOCUS POCUS POP UP SHOP,https://www.eventbrite.com/e/hocus-pocus-pop-up-shop-tickets-724318615477?aff=ebdssbdestsearch,,"Fri, Oct 27 •  5:00 PM ","Dillard's 4950 Pacific Avenue Stockton, CA 95207",Rochelle Brown,,,,
California,Sonoma,Santa Rosa,Oktoberfest!,https://www.eventbrite.com/e/oktoberfest-tickets-690241038527?aff=ebdssbdestsearch,,Tomorrow • 1:30 PM,"1980 Piner Rd 1980 Piner Road Santa Rosa, CA 95403",The lodge at piner road,,,,
California,Santa Cruz,Santa Cruz,Harm / Hope: Survivor Art Exhibition,https://www.eventbrite.com/e/harm-hope-survivor-art-exhibition-tickets-617326258457?aff=ebdssbdestsearch,,"Sat, Oct 7 •  11:00 AM ","303 Walnut Ave 303 Walnut Avenue Santa Cruz, CA 95060",Walnut Avenue Family & Women's Center,https://wafwc.org,https://www.facebook.com/WalnutAvenueWomensCenter,https://www.twitter.com/walnutavenue_SC,
California,Sonoma,Sebastopol,Patchwork Show Sebastopol,https://www.eventbrite.com/e/patchwork-show-sebastopol-tickets-725772624457?aff=ebdssbdestsearch,,"Sat, Dec 2 •  11:00 AM ","Sebastopol Center For the Arts 282 South High Street Sebastopol, CA 95472",Dear Handmade Life,,,,
California,Santa Cruz,Santa Cruz,Santa Cruz-Live Oak Glass Pumpkin Patch,https://www.eventbrite.com/e/santa-cruz-live-oak-glass-pumpkin-patch-tickets-723570628227?aff=ebdssbdestsearch,,"Sat, Oct 28 •  10:00 AM ","Santa Cruz Live Oak Grange Heirloom Garden 1900 17th Avenue Santa Cruz, CA 95062",Chris Johnson Glass,,,,
California,Solano,Rio Vista,Secrets of the Sea Circus Festival: Aboard Forbes Island,https://www.eventbrite.com/e/secrets-of-the-sea-circus-festival-aboard-forbes-island-tickets-530909202717?aff=ebdssbdestsearch,,yesterday • 3:00 PM,"Forbes Island Private for Ticketholders, CA 94571",Nikki Borodi Entertainment,http://www.nikkiborodi.com,https://www.facebook.com/events/247041105652029,,
California,Sonoma,Santa Rosa,National Porridge Day,https://www.eventbrite.com/e/national-porridge-day-tickets-728551646587?aff=ebdssbdestsearch,,"Tue, Oct 10 •  9:00 AM ","1980 Piner Rd 1980 Piner Road Santa Rosa, CA 95403",The lodge at piner road,,,,
California,San Joaquin,Stockton,"Sierra Vista's ""Harvest Festival""",https://www.eventbrite.com/e/sierra-vistas-harvest-festival-tickets-723023852807?aff=ebdssbdestsearch,,"Wed, Oct 25 •  3:00 PM ","1602 E 11th St, Stockton, CA 95206, USA 1602 East 11th Street Stockton, CA 95206",Reinvent South Stockton Coalition,https://rsscoalition.org,,,
California,Santa Cruz,Santa Cruz,Downtown Santa Cruz Makers Market,https://www.eventbrite.com/e/downtown-santa-cruz-makers-market-tickets-512264134817?aff=ebdssbdestsearch,,"Sun, Oct 15 •  10:00 AM  + 2 more","Pacific Avenue Pacific Avenue Santa Cruz, CA 95060",SCM Makers Market,,,,
California,Santa Cruz,Aptos,Gourmet Grazing on the Green,https://www.eventbrite.com/e/gourmet-grazing-on-the-green-tickets-672632400617?aff=ebdssbdestsearch,,"Sat, Oct 7 •  12:00 PM ","Aptos Village County Park 100 Aptos Creek Road Aptos, CA 95003",Santa Cruz Cancer Benefit Group,,,,
California,San Joaquin,Stockton,San Joaquin Delta College's Fierce's Fall Fest in CTE Land 2023!,https://www.eventbrite.com/e/san-joaquin-delta-colleges-fierces-fall-fest-in-cte-land-2023-tickets-726478606067?aff=ebdssbdestsearch,,"Sat, Oct 21 •  2:00 PM ","5151 Pacific Ave 5151 Pacific Avenue Stockton, CA 95207",Delta College Career Technical Education & Workforce Development (CTE),,,,
California,Sonoma,Bodega Bay,Hitchcock Film Festival,https://www.eventbrite.com/e/hitchcock-film-festival-tickets-700556993827?aff=ebdssbdestsearch,,"Fri, Oct 20 •  5:30 PM ","Bodega Bay Grange Hall #777 1370 Bodega Avenue Bodega Bay, CA 94923",Bodega Bay Area Chamber of Commerce,,,,
California,Santa Cruz,Aptos,Aptos Wine Wander,https://www.eventbrite.com/e/aptos-wine-wander-tickets-714204794767?aff=ebdssbdestsearch,,"Sat, Dec 9 •  1:00 PM ","Aptos Village 161 Aptos Village Way Aptos, CA 95003",Wines of the Santa Cruz Mountains,https://winesofthesantacruzmountains.com/,,,
California,San Joaquin,Stockton,Harvest Festival,https://www.eventbrite.com/e/harvest-festival-tickets-720961002767?aff=ebdssbdestsearch,,"Sat, Oct 21 •  11:00 AM ","Harvest Church Ministries 3051 East Main Street Stockton, CA 95205",Harvest Church Ministries,,,,
