Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
"Art & Crafts Fesitval,  7025 E Tanque Verde & Sabino Canyon, Big Lots",https://www.eventbrite.com/e/art-crafts-fesitval-7025-e-tanque-verde-sabino-canyon-big-lots-tickets-649790339397?aff=ebdssbdestsearch,,N/A,"7025 E Tanque Verde Rd 7025 East Tanque Verde Road Tucson, AZ 85715",Art Attack  Art and Crafts Promotions,http://www.azartattack.com,N/A,N/A,N/A
VA Caregiver Resource Fair,https://www.eventbrite.com/e/va-caregiver-resource-fair-tickets-729036296187?aff=ebdssbdestsearch,,"Wed, Nov 8 •  11:00 AM ","SAVAHCS Auditorium 3601 South 6th Avenue SAVAHCS Auditorium Tucson, AZ 85723",N/A,N/A,N/A,N/A,N/A
VA Caregiver Resource Fair,https://www.eventbrite.com/e/va-caregiver-resource-fair-tickets-729036296187?aff=ebdssbdestsearch,,N/A,"SAVAHCS Auditorium 3601 South 6th Avenue SAVAHCS Auditorium Tucson, AZ 85723",N/A,N/A,N/A,N/A,N/A
"Art & Crafts Show, 7025 E Tanque Verde & Sabino Canyon, Feb 23,24,25, 2024",https://www.eventbrite.com/e/art-crafts-show-7025-e-tanque-verde-sabino-canyon-feb-232425-2024-tickets-649812696267?aff=ebdssbdestsearch,,"Fri, Feb 23 •  10:00 AM ","7025 E Tanque Verde Rd 7025 East Tanque Verde Road Tucson, AZ 85715",Art Attack  Art and Crafts Promotions,http://www.azartattack.com,N/A,N/A,N/A
"Art & Crafts Show, 7025 E Tanque Verde & Sabino Canyon, Feb 23,24,25, 2024",https://www.eventbrite.com/e/art-crafts-show-7025-e-tanque-verde-sabino-canyon-feb-232425-2024-tickets-649812696267?aff=ebdssbdestsearch,,N/A,"7025 E Tanque Verde Rd 7025 East Tanque Verde Road Tucson, AZ 85715",Art Attack  Art and Crafts Promotions,http://www.azartattack.com,N/A,N/A,N/A
Rincon Rotary Foundation 13th Annual Taste of Chocolate,https://www.eventbrite.com/e/rincon-rotary-foundation-13th-annual-taste-of-chocolate-tickets-736598304357?aff=ebdssbdestsearch,,"Sun, Apr 7 •  2:00 PM ","Doubletree Reid Park 445 South Alvernon Way Tucson, AZ 85711",The Rincon Rotary Club Foundation,N/A,https://www.facebook.com/TucsonTasteOfChocolate,N/A,N/A
Rincon Rotary Foundation 13th Annual Taste of Chocolate,https://www.eventbrite.com/e/rincon-rotary-foundation-13th-annual-taste-of-chocolate-tickets-736598304357?aff=ebdssbdestsearch,,N/A,"Doubletree Reid Park 445 South Alvernon Way Tucson, AZ 85711",The Rincon Rotary Club Foundation,N/A,https://www.facebook.com/TucsonTasteOfChocolate,N/A,N/A
Willcox Wine Country - Fall Festival - Oct. 2023,https://www.eventbrite.com/e/willcox-wine-country-fall-festival-oct-2023-tickets-680340134657?aff=ebdssbdestsearch,,"Fri, Oct 20 •  6:00 PM ","Railroad Park 157 N Railroad Ave Willcox, AZ 85643","Cochise Graham Wine Council, Inc.",N/A,https://www.facebook.com/willcoxwinecountry,N/A,N/A
Willcox Wine Country - Fall Festival - Oct. 2023,https://www.eventbrite.com/e/willcox-wine-country-fall-festival-oct-2023-tickets-680340134657?aff=ebdssbdestsearch,,N/A,"Railroad Park 157 N Railroad Ave Willcox, AZ 85643","Cochise Graham Wine Council, Inc.",N/A,https://www.facebook.com/willcoxwinecountry,N/A,N/A
Trunk or Treat Tucson 2023,https://www.eventbrite.com/e/trunk-or-treat-tucson-2023-tickets-677681432407?aff=ebdssbdestsearch,,"Sat, Oct 28 •  3:00 PM ","Synergy Plaza 2959 N Swan Rd Tucson, AZ 85712",Synergy Plaza Trunk Or Treat,N/A,N/A,N/A,N/A
Trunk or Treat Tucson 2023,https://www.eventbrite.com/e/trunk-or-treat-tucson-2023-tickets-677681432407?aff=ebdssbdestsearch,,N/A,"Synergy Plaza 2959 N Swan Rd Tucson, AZ 85712",Synergy Plaza Trunk Or Treat,N/A,N/A,N/A,N/A
EMERGE  STUFF THE BUS and FAMILY RESOURCE FAIR,https://www.eventbrite.com/e/emerge-stuff-the-bus-and-family-resource-fair-tickets-727100867267?aff=ebdssbdestsearch,,"Sat, Oct 21 •  9:00 AM ","The Loft Cinema, East Speedway Boulevard, Tucson, AZ, USA 3233 East Speedway Boulevard Back Parking Lot Tucson, AZ 85716",Emerge Center Against Domestic Abuse,N/A,N/A,N/A,N/A
EMERGE  STUFF THE BUS and FAMILY RESOURCE FAIR,https://www.eventbrite.com/e/emerge-stuff-the-bus-and-family-resource-fair-tickets-727100867267?aff=ebdssbdestsearch,,N/A,"The Loft Cinema, East Speedway Boulevard, Tucson, AZ, USA 3233 East Speedway Boulevard Back Parking Lot Tucson, AZ 85716",Emerge Center Against Domestic Abuse,N/A,N/A,N/A,N/A
Downtown Clifton Hotel's  First Annual Halloween Bar Bazaar,https://www.eventbrite.com/e/downtown-clifton-hotels-first-annual-halloween-bar-bazaar-tickets-727634322847?aff=ebdssbdestsearch,,Saturday • 6:00 PM,"The Downtown Clifton Hotel Tucson 485 South Stone Avenue Tucson, AZ 85701",The Downtown Clifton,N/A,N/A,N/A,N/A
Downtown Clifton Hotel's  First Annual Halloween Bar Bazaar,https://www.eventbrite.com/e/downtown-clifton-hotels-first-annual-halloween-bar-bazaar-tickets-727634322847?aff=ebdssbdestsearch,,N/A,"The Downtown Clifton Hotel Tucson 485 South Stone Avenue Tucson, AZ 85701",The Downtown Clifton,N/A,N/A,N/A,N/A
The Tucson Pancakes & Booze Art Show,https://www.eventbrite.com/e/the-tucson-pancakes-booze-art-show-tickets-595486826127?aff=ebdssbdestsearch,,"Sat, Oct 21 •  8:00 PM ","Whistle Stop Depot 127 West 5th Street Tucson, AZ 85705",The Pancakes & Booze Art Show,N/A,https://www.facebook.com/pancakesandboozeartshow,https://www.twitter.com/pancakesbooze,N/A
The Tucson Pancakes & Booze Art Show,https://www.eventbrite.com/e/the-tucson-pancakes-booze-art-show-tickets-595486826127?aff=ebdssbdestsearch,,N/A,"Whistle Stop Depot 127 West 5th Street Tucson, AZ 85705",The Pancakes & Booze Art Show,N/A,https://www.facebook.com/pancakesandboozeartshow,https://www.twitter.com/pancakesbooze,N/A
